Date,Year,Month,Day,Weekday,Week_Number,Year_Week,Open,High,Low,Close,Volume,Adj Close,Return,Short_MA,Long_MA
2017-03-20,2017,3,20,Monday,12,2017-12,237.03,237.36,236.32,236.77,52537000,215.15,-0.00109679495290127,215.22214285714287,210.23280000000003
2017-03-21,2017,3,21,Tuesday,12,2017-12,237.47,237.61,233.58,233.73,131809300,212.39,-0.012839328712687004,214.89714285714285,210.36919999999998
2017-03-22,2017,3,22,Wednesday,12,2017-12,233.77,234.61,233.05,234.28,97569200,212.89,0.0023529445573384766,214.70499999999998,210.52919999999997
2017-03-23,2017,3,23,Thursday,12,2017-12,234.28,235.34,233.6,234.03,100410300,212.66,-0.0010670943453890969,214.48714285714286,210.6846
2017-03-24,2017,3,24,Friday,12,2017-12,234.38,235.04,232.96,233.86,112504900,212.51,-0.0007262672689379857,214.3042857142857,210.82539999999997
2017-03-27,2017,3,27,Monday,13,2017-13,231.93,233.92,231.61,233.62,87454500,212.29,-0.0010262157482902046,214.15142857142857,210.972
2017-03-28,2017,3,28,Tuesday,13,2017-13,233.27,235.81,233.14,235.32,93483900,213.83,0.0072765673485710725,214.13714285714286,211.14
2017-03-29,2017,3,29,Wednesday,13,2017-13,234.99,235.81,234.73,235.54,61950400,214.03,0.0009350756109673952,214.11785714285716,211.32659999999998
2017-03-30,2017,3,30,Thursday,13,2017-13,235.47,236.52,235.27,236.29,56737900,214.72,0.003184086284225618,214.09428571428572,211.518
2017-03-31,2017,3,31,Friday,13,2017-13,235.9,236.51,235.68,235.74,73733100,214.22,-0.002327665916195598,214.02714285714288,211.7146
2017-04-03,2017,4,3,Monday,14,2017-14,235.8,236.03,233.91,235.33,85546500,213.84,-0.0017391734210765453,213.99142857142857,211.8884
2017-04-04,2017,4,4,Tuesday,14,2017-14,235.0,235.58,234.56,235.48,56466200,213.98,0.0006374141180269799,213.83357142857145,212.0758
2017-04-05,2017,4,5,Wednesday,14,2017-14,236.26,237.39,234.54,234.78,108800600,213.34,-0.0029726092943421767,213.66,212.2242
2017-04-06,2017,4,6,Thursday,14,2017-14,234.94,236.04,234.43,235.44,69135800,213.94,0.00281103477950162,213.55642857142857,212.3488
2017-04-07,2017,4,7,Friday,14,2017-14,235.15,236.0,234.64,235.2,74412300,213.73,-0.001019257774078297,213.45499999999998,212.4736
2017-04-10,2017,4,10,Monday,15,2017-15,235.36,236.26,234.73,235.34,67615300,213.85,0.0005950725281680391,213.55928571428572,212.60739999999998
2017-04-11,2017,4,11,Tuesday,15,2017-15,234.9,235.18,233.34,235.06,88045300,213.6,-0.0011895086068663963,213.60999999999999,212.7618
2017-04-12,2017,4,12,Wednesday,15,2017-15,234.74,234.96,233.77,234.03,81864400,212.66,-0.004382084758500326,213.60999999999999,212.8978
2017-04-13,2017,4,13,Thursday,15,2017-15,233.64,234.49,232.51,232.51,92880400,211.28,-0.006494717880108913,213.52214285714285,213.00460000000004
2017-04-17,2017,4,17,Monday,16,2017-16,233.11,234.57,232.88,234.57,68405400,213.15,0.008859783421096834,213.58357142857145,213.14600000000002
2017-04-18,2017,4,18,Tuesday,16,2017-16,233.72,234.49,233.08,233.87,83225800,212.52,-0.0029842844009861924,213.48999999999998,213.24640000000002
2017-04-19,2017,4,19,Wednesday,16,2017-16,234.52,234.95,233.18,233.44,68699900,212.13,-0.001838522231931261,213.3542857142857,213.3464
2017-04-20,2017,4,20,Thursday,16,2017-16,234.15,235.85,233.78,235.34,92572200,213.85,0.00813896879012943,213.29214285714284,213.4806
2017-04-21,2017,4,21,Friday,16,2017-16,235.25,235.31,234.13,234.59,110389800,213.17,-0.0031868641603433057,213.21714285714285,213.59580000000003
2017-04-24,2017,4,24,Monday,17,2017-17,237.18,237.41,234.56,237.17,119209900,215.52,0.010998064689352827,213.33714285714285,213.7334
2017-04-25,2017,4,25,Tuesday,17,2017-17,237.91,238.95,237.81,238.55,76698300,216.77,0.0058186008595007,213.53642857142856,213.87959999999998
2017-04-26,2017,4,26,Wednesday,17,2017-17,238.51,239.53,238.35,238.4,84702500,216.63,-0.0006287397414480589,213.77142857142857,214.0002
2017-04-27,2017,4,27,Thursday,17,2017-17,238.77,238.95,237.98,238.6,57410300,216.81,0.0008388235930527621,213.97642857142858,214.1076
2017-04-28,2017,4,28,Friday,17,2017-17,238.9,238.93,237.93,238.08,63532800,216.34,-0.0021792260534796437,214.16285714285715,214.1834
